Ma_TSN,Ten_TSN,type,Ma_toa_cha,Ten_toa_cha,Ma_SSN,Ten_SSN,Tinh
D01.49.30,"Tòa án nhân dân huyện Ứng Hòa, thành phố Hà Nội",OLD,D01.49,"Tòa án nhân dân Thành phố Hà Nội",D01.131.12,"Tòa án nhân dân khu vực 12 - Hà Nội","Thành phố Hà Nội"
D01.50.01,"Tòa án nhân dân thành phố Hà Tĩnh, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.01,"Tòa án nhân dân khu vực 1 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.02,"Tòa án nhân dân thị xã Hồng Lĩnh, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.03,"Tòa án nhân dân khu vực 3 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.03,"Tòa án nhân dân thị xã Kỳ Anh, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.02,"Tòa án nhân dân khu vực 2 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.04,"Tòa án nhân dân huyện Cẩm Xuyên, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.01,"Tòa án nhân dân khu vực 1 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.05,"Tòa án nhân dân huyện Can Lộc, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.03,"Tòa án nhân dân khu vực 3 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.06,"Tòa án nhân dân huyện Đức Thọ, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.03,"Tòa án nhân dân khu vực 3 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.07,"Tòa án nhân dân huyện Hương Khê, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.04,"Tòa án nhân dân khu vực 4 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.08,"Tòa án nhân dân huyện Hương Sơn, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.05,"Tòa án nhân dân khu vực 5 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.11,"Tòa án nhân dân huyện Nghi Xuân, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.03,"Tòa án nhân dân khu vực 3 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.12,"Tòa án nhân dân huyện Thạch Hà, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.01,"Tòa án nhân dân khu vực 1 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.50.13,"Tòa án nhân dân huyện Vũ Quang, tỉnh Hà Tĩnh",OLD,D01.50,"Tòa án nhân dân tỉnh Hà Tĩnh",D01.132.05,"Tòa án nhân dân khu vực 5 - Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.51.01,"Tòa án nhân dân thành phố Hải Dương, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.08,"Tòa án nhân dân khu vực 8 - Hải Phòng","Tỉnh Hải Dương"
D01.51.02,"Tòa án nhân dân thành phố Chí Linh, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.09,"Tòa án nhân dân khu vực 9 - Hải Phòng","Tỉnh Hải Dương"
D01.51.03,"Tòa án nhân dân thị xã Kinh Môn, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.10,"Tòa án nhân dân khu vực 10 - Hải Phòng","Tỉnh Hải Dương"
D01.51.04,"Tòa án nhân dân huyện Bình Giang, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.12,"Tòa án nhân dân khu vực 12 - Hải Phòng","Tỉnh Hải Dương"
D01.51.05,"Tòa án nhân dân huyện Cẩm Giàng, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.12,"Tòa án nhân dân khu vực 12 - Hải Phòng","Tỉnh Hải Dương"
D01.51.06,"Tòa án nhân dân huyện Gia Lộc, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.11,"Tòa án nhân dân khu vực 11 - Hải Phòng","Tỉnh Hải Dương"
D01.51.07,"Tòa án nhân dân huyện Kim Thành, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.10,"Tòa án nhân dân khu vực 10 - Hải Phòng","Tỉnh Hải Dương"
D01.51.08,"Tòa án nhân dân huyện Nam Sách, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.09,"Tòa án nhân dân khu vực 9 - Hải Phòng","Tỉnh Hải Dương"
D01.51.09,"Tòa án nhân dân huyện Ninh Giang, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.13,"Tòa án nhân dân khu vực 13 - Hải Phòng","Tỉnh Hải Dương"
D01.51.10,"Tòa án nhân dân huyện Thanh Hà, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.08,"Tòa án nhân dân khu vực 8 - Hải Phòng","Tỉnh Hải Dương"
D01.51.11,"Tòa án nhân dân huyện Thanh Miện, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.13,"Tòa án nhân dân khu vực 13 - Hải Phòng","Tỉnh Hải Dương"
D01.51.12,"Tòa án nhân dân huyện Tứ Kỳ, tỉnh Hải Dương",OLD,D01.51,"Tòa án nhân dân tỉnh Hải Dương",D01.133.11,"Tòa án nhân dân khu vực 11 - Hải Phòng","Tỉnh Hải Dương"
D01.52.01,"Tòa án nhân dân quận Đồ Sơn, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.06,"Tòa án nhân dân khu vực 6 - Hải Phòng","Thành phố Hải Phòng"
D01.52.02,"Tòa án nhân dân quận Dương Kinh, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.06,"Tòa án nhân dân khu vực 6 - Hải Phòng","Thành phố Hải Phòng"
D01.52.03,"Tòa án nhân dân quận Hải An, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.04,"Tòa án nhân dân khu vực 4 - Hải Phòng","Thành phố Hải Phòng"
D01.52.04,"Tòa án nhân dân quận Hồng Bàng, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.03,"Tòa án nhân dân khu vực 3 - Hải Phòng","Thành phố Hải Phòng"
D01.52.05,"Tòa án nhân dân quận Kiến An, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.05,"Tòa án nhân dân khu vực 5 - Hải Phòng","Thành phố Hải Phòng"
D01.52.06,"Tòa án nhân dân quận Lê Chân, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.05,"Tòa án nhân dân khu vực 5 - Hải Phòng","Thành phố Hải Phòng"
D01.52.07,"Tòa án nhân dân quận Ngô Quyền, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.03,"Tòa án nhân dân khu vực 3 - Hải Phòng","Thành phố Hải Phòng"
D01.52.08,"Tòa án nhân dân huyện An Dương, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.02,"Tòa án nhân dân khu vực 2 - Hải Phòng","Thành phố Hải Phòng"
D01.52.09,"Tòa án nhân dân huyện An Lão, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.02,"Tòa án nhân dân khu vực 2 - Hải Phòng","Thành phố Hải Phòng"
D01.52.10,"Tòa án nhân dân huyện Bạch Long Vĩ, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.04,"Tòa án nhân dân khu vực 4 - Hải Phòng","Thành phố Hải Phòng"
D01.52.11,"Tòa án nhân dân huyện Cát Hải, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.04,"Tòa án nhân dân khu vực 4 - Hải Phòng","Thành phố Hải Phòng"
D01.52.12,"Tòa án nhân dân huyện Kiến Thụy, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.06,"Tòa án nhân dân khu vực 6 - Hải Phòng","Thành phố Hải Phòng"
D01.52.13,"Tòa án nhân dân huyện Thủy Nguyên, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.01,"Tòa án nhân dân khu vực 1 - Hải Phòng","Thành phố Hải Phòng"
D01.52.14,"Tòa án nhân dân huyện Tiên Lãng, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.07,"Tòa án nhân dân khu vực 7 - Hải Phòng","Thành phố Hải Phòng"
D01.52.15,"Tòa án nhân dân huyện Vĩnh Bảo, thành phố Hải Phòng",OLD,D01.52,"Tòa án nhân dân Thành phố Hải Phòng",D01.133.07,"Tòa án nhân dân khu vực 7 - Hải Phòng","Thành phố Hải Phòng"
D01.53.01,"Tòa án nhân dân thị xã Long Mỹ, tỉnh Hậu Giang",OLD,D01.53,"Tòa án nhân dân tỉnh Hậu Giang",D01.124.12,"Tòa án nhân dân khu vực 12 - Cần Thơ","Tỉnh Hậu Giang"
D01.53.02,"Tòa án nhân dân thị xã Ngã Bảy, tỉnh Hậu Giang",OLD,D01.53,"Tòa án nhân dân tỉnh Hậu Giang",D01.124.13,"Tòa án nhân dân khu vực 13 - Cần Thơ","Tỉnh Hậu Giang"
D01.53.03,"Tòa án nhân dân thị xã Vị Thanh, tỉnh Hậu Giang",OLD,D01.53,"Tòa án nhân dân tỉnh Hậu Giang",D01.124.11,"Tòa án nhân dân khu vực 11 - Cần Thơ","Tỉnh Hậu Giang"
D01.53.04,"Tòa án nhân dân huyện Châu Thành, tỉnh Hậu Giang",OLD,D01.53,"Tòa án nhân dân tỉnh Hậu Giang",D01.124.14,"Tòa án nhân dân khu vực 14 - Cần Thơ","Tỉnh Hậu Giang"
D01.53.05,"Tòa án nhân dân huyện Châu Thành A, tỉnh Hậu Giang",OLD,D01.53,"Tòa án nhân dân tỉnh Hậu Giang",D01.124.14,"Tòa án nhân dân khu vực 14 - Cần Thơ","Tỉnh Hậu Giang"
D01.53.07,"Tòa án nhân dân huyện Phụng Hiệp, tỉnh Hậu Giang",OLD,D01.53,"Tòa án nhân dân tỉnh Hậu Giang",D01.124.13,"Tòa án nhân dân khu vực 13 - Cần Thơ","Tỉnh Hậu Giang"
D01.53.08,"Tòa án nhân dân huyện Vị Thuỷ, tỉnh Hậu Giang",OLD,D01.53,"Tòa án nhân dân tỉnh Hậu Giang",D01.124.11,"Tòa án nhân dân khu vực 11 - Cần Thơ","Tỉnh Hậu Giang"
D01.54.01,"Tòa án nhân dân thành phố Thủ Đức, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.02,"Tòa án nhân dân khu vực 2 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.02,"Tòa án nhân dân quận 1, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.01,"Tòa án nhân dân khu vực 1 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.03,"Tòa án nhân dân quận 3, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.01,"Tòa án nhân dân khu vực 1 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.04,"Tòa án nhân dân quận 4, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.01,"Tòa án nhân dân khu vực 1 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.05,"Tòa án nhân dân quận 5, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.03,"Tòa án nhân dân khu vực 3 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.06,"Tòa án nhân dân quận 6, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.03,"Tòa án nhân dân khu vực 3 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.07,"Tòa án nhân dân quận 7, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.06,"Tòa án nhân dân khu vực 6 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.08,"Tòa án nhân dân quận 8, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.10,"Tòa án nhân dân khu vực 10 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.09,"Tòa án nhân dân quận 10, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.04,"Tòa án nhân dân khu vực 4 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.10,"Tòa án nhân dân quận 11, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.03,"Tòa án nhân dân khu vực 3 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.11,"Tòa án nhân dân quận 12, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.07,"Tòa án nhân dân khu vực 7 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.12,"Tòa án nhân dân quận Bình Tân, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.09,"Tòa án nhân dân khu vực 9 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.13,"Tòa án nhân dân quận Bình Thạnh, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.05,"Tòa án nhân dân khu vực 5 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.14,"Tòa án nhân dân quận Gò Vấp, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.07,"Tòa án nhân dân khu vực 7 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.15,"Tòa án nhân dân quận Phú Nhuận, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.05,"Tòa án nhân dân khu vực 5 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.16,"Tòa án nhân dân quận Tân Bình, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.04,"Tòa án nhân dân khu vực 4 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.17,"Tòa án nhân dân quận Tân Phú, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.09,"Tòa án nhân dân khu vực 9 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.18,"Tòa án nhân dân huyện Bình Chánh, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.10,"Tòa án nhân dân khu vực 10 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.19,"Tòa án nhân dân huyện Cần Giờ, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.06,"Tòa án nhân dân khu vực 6 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.20,"Tòa án nhân dân huyện Củ Chi, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.08,"Tòa án nhân dân khu vực 8 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.21,"Tòa án nhân dân huyện Hóc Môn, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.08,"Tòa án nhân dân khu vực 8 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.54.22,"Tòa án nhân dân huyện Nhà Bè, thành phố Hồ Chí Minh",OLD,D01.54,"Tòa án nhân dân Thành phố Hồ Chí Minh",D01.134.06,"Tòa án nhân dân khu vực 6 - Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.55.01,"Tòa án nhân dân thành phố Hòa Bình, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.12,"Tòa án nhân dân khu vực 12 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.02,"Tòa án nhân dân huyện Cao Phong, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.12,"Tòa án nhân dân khu vực 12 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.03,"Tòa án nhân dân huyện Đà Bắc, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.14,"Tòa án nhân dân khu vực 14 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.04,"Tòa án nhân dân huyện Kim Bôi, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.13,"Tòa án nhân dân khu vực 13 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.05,"Tòa án nhân dân huyện Lạc Sơn, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.15,"Tòa án nhân dân khu vực 15 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.06,"Tòa án nhân dân huyện Lạc Thủy, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.17,"Tòa án nhân dân khu vực 17 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.07,"Tòa án nhân dân huyện Lương Sơn, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.13,"Tòa án nhân dân khu vực 13 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.08,"Tòa án nhân dân huyện Mai Châu, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.16,"Tòa án nhân dân khu vực 16 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.09,"Tòa án nhân dân huyện Tân Lạc, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.15,"Tòa án nhân dân khu vực 15 - Phú Thọ","Tỉnh Hòa Bình"
D01.55.10,"Tòa án nhân dân huyện Yên Thủy, tỉnh Hòa Bình",OLD,D01.55,"Tòa án nhân dân tỉnh Hòa Bình",D01.144.17,"Tòa án nhân dân khu vực 17 - Phú Thọ","Tỉnh Hòa Bình"
D01.56.01,"Tòa án nhân dân thành phố Hưng Yên, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.01,"Tòa án nhân dân khu vực 1 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.02,"Tòa án nhân dân huyện Ân Thi, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.01,"Tòa án nhân dân khu vực 1 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.03,"Tòa án nhân dân huyện Khoái Châu, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.03,"Tòa án nhân dân khu vực 3 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.04,"Tòa án nhân dân huyện Kim Động, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.03,"Tòa án nhân dân khu vực 3 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.05,"Tòa án nhân dân huyện Mỹ Hào, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.02,"Tòa án nhân dân khu vực 2 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.06,"Tòa án nhân dân huyện Phù Cừ, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.01,"Tòa án nhân dân khu vực 1 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.07,"Tòa án nhân dân huyện Tiên Lữ, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.01,"Tòa án nhân dân khu vực 1 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.08,"Tòa án nhân dân huyện Văn Giang, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.04,"Tòa án nhân dân khu vực 4 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.09,"Tòa án nhân dân huyện Văn Lâm, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.04,"Tòa án nhân dân khu vực 4 - Hưng Yên","Tỉnh Hưng Yên"
D01.56.10,"Tòa án nhân dân huyện Yên Mỹ, tỉnh Hưng Yên",OLD,D01.56,"Tòa án nhân dân tỉnh Hưng Yên",D01.136.02,"Tòa án nhân dân khu vực 2 - Hưng Yên","Tỉnh Hưng Yên"
D01.57.01,"Tòa án nhân dân thành phố Nha Trang, tỉnh Khánh Hòa",OLD,D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.01,"Tòa án nhân dân khu vực 1 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.57.02,"Tòa án nhân dân thị xã Cam Ranh, tỉnh Khánh Hòa",OLD,D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.02,"Tòa án nhân dân khu vực 2 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.57.03,"Tòa án nhân dân huyện Cam Lâm, tỉnh Khánh Hòa",OLD,D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.02,"Tòa án nhân dân khu vực 2 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.57.04,"Tòa án nhân dân huyện Diên Khánh, tỉnh Khánh Hòa",OLD,D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.03,"Tòa án nhân dân khu vực 3 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.57.05,"Tòa án nhân dân huyện Khánh Sơn, tỉnh Khánh Hòa",OLD,D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.02,"Tòa án nhân dân khu vực 2 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.57.06,"Tòa án nhân dân huyện Khánh Vĩnh, tỉnh Khánh Hòa",OLD,D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.03,"Tòa án nhân dân khu vực 3 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.57.07,"Tòa án nhân dân huyện Ninh Hoà, tỉnh Khánh Hòa",OLD,D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.04,"Tòa án nhân dân khu vực 4 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.57.08,"Tòa án nhân dân huyện Vạn Ninh, tỉnh Khánh Hòa",OLD,D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",D01.137.04,"Tòa án nhân dân khu vực 4 - Khánh Hòa","Tỉnh Khánh Hòa"
D01.58.01,"Tòa án nhân dân thành phố Rạch Giá, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.01,"Tòa án nhân dân khu vực 1 - An Giang ","Tỉnh Kiên Giang"
D01.58.02,"Tòa án nhân dân thành phố Hà Tiên, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.08,"Tòa án nhân dân khu vực 8 - An Giang ","Tỉnh Kiên Giang"
D01.58.03,"Tòa án nhân dân huyện An Biên, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.07,"Tòa án nhân dân khu vực 7 - An Giang ","Tỉnh Kiên Giang"
D01.58.04,"Tòa án nhân dân huyện An Minh, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.07,"Tòa án nhân dân khu vực 7 - An Giang ","Tỉnh Kiên Giang"
D01.58.05,"Tòa án nhân dân huyện Châu Thành, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.03,"Tòa án nhân dân khu vực 3 - An Giang ","Tỉnh Kiên Giang"
D01.58.06,"Tòa án nhân dân huyện Giang Thành, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.08,"Tòa án nhân dân khu vực 8 - An Giang ","Tỉnh Kiên Giang"
D01.58.07,"Tòa án nhân dân huyện Giồng Riềng, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.05,"Tòa án nhân dân khu vực 5 - An Giang","Tỉnh Kiên Giang"
D01.58.08,"Tòa án nhân dân huyện Gò Quao, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.05,"Tòa án nhân dân khu vực 5 - An Giang","Tỉnh Kiên Giang"
D01.58.09,"Tòa án nhân dân huyện Hòn Đất, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.04,"Tòa án nhân dân khu vực 4 - An Giang ","Tỉnh Kiên Giang"
D01.58.10,"Tòa án nhân dân huyện Kiên Hải, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.01,"Tòa án nhân dân khu vực 1 - An Giang ","Tỉnh Kiên Giang"
D01.58.11,"Tòa án nhân dân huyện Kiên Lương, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.08,"Tòa án nhân dân khu vực 8 - An Giang ","Tỉnh Kiên Giang"
D01.58.12,"Tòa án nhân dân huyện Phú Quốc, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.02,"Tòa án nhân dân khu vực 2 - An Giang ","Tỉnh Kiên Giang"
D01.58.13,"Tòa án nhân dân huyện Tân Hiệp, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.03,"Tòa án nhân dân khu vực 3 - An Giang ","Tỉnh Kiên Giang"
D01.58.14,"Tòa án nhân dân huyện U Minh Thượng, tỉnh Kiên Giang",OLD,D01.58,"Tòa án nhân dân tỉnh Kiên Giang",D01.120.06,"Tòa án nhân dân khu vực 6 - An Giang ","Tỉnh Kiên Giang"
